Fila,SKU,Descripción,Stock,Fecha actualización,Nota,Motivo revisión
353,2148007102010104,BISA VASO RECTO 14 CON ASA,222.0,2026-03-23,,SKU repetido en el archivo
601,2148007102010104,BISA VASO RECTO 14 A/T 12PZ/1 TG,0.0,2026-03-23,,SKU repetido en el archivo
1048,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1049,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1050,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1051,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1052,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1053,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1054,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1055,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1056,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1057,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1058,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1059,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1060,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1061,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1062,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1063,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1064,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1065,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1066,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1067,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1068,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1069,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1070,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1071,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1072,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1073,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1074,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1075,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1076,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1077,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1078,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1079,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1080,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1081,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1082,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1083,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1084,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1085,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1086,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1087,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1088,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1089,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1090,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1091,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1092,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1093,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1094,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1095,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1096,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1097,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1098,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1099,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1100,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1101,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1102,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1103,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1104,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1105,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1106,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1107,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1108,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1109,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1110,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1111,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1112,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1113,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1114,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1115,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1116,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1117,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1118,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1119,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1120,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1121,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1122,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1123,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1124,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1125,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1126,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1127,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1128,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1129,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1130,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1131,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1132,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1133,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1134,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1135,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1136,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1137,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1138,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1139,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1140,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1141,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
1142,,,0.0,,STOCK vacío convertido a 0,FECHA_ACTUALIZACION obligatoria o inválida | SKU vacío
